Unnamed: 0,level_0,Comment,Label,Llama3.1 Not Fine Tuned output,Llama3.1 Fine Tuned output,labels_to_numbers_original,labels_to_numbers (Fine Tuned),labels_to_numbers (Not Fine Tuned)
977,977,Legends never die,Neutral,Favor,Favor,2,0,0
4140,4140,Genius footballer but the music is terrible,Irrelevant,Against,Irrelevant,3,3,1
653,653,No one to compare him,Favor,Neutral,Favor,0,0,2
2845,2845,"as long as football is , they all will been reminded the only player the best player of all time Diego Armando Maradona!!",Favor,Favor,Favor,0,0,0
5055,5055,Born footballer what a talent made it look so easy absolutely gifted. Legend up their with the best of all time,Favor,Favor,Favor,0,0,0
1073,1073,"Either Diegos Hand Of God was so good it took up 2 places, or maths isnt the makers strong point Still 19 of the best goals Ive ever seen. Its easy to just say Maradonas one of the best players the world has ever seen because you kinda know what hes capable of, but when you look back and actually see what he did, see his goals and dribbles in a collection like this, its only then you truly appreciate itWhat he could do with a ball at times is beyond believable. Those long chips over the keeper from 25 yards away, running past 5 or 6 players with the ball never more than a couple of inches from his toes, his balance, his observation, his planning, his precision and his execution are just on a different level to anyone. I remember Archie Gemmill scoring against the Dutch for us in 1978 and how amazing and mind-blowing that was but the chances of seeing him do that again were slim but for Maradona that was the norm. That goal v England at #1 was Incredibke",Favor,Favor,Favor,0,0,0
561,561,"Maradona didn't just dribble players, he would regularly dribble past the goalkeeper too!",Favor,Favor,Favor,0,0,0
1075,1075,Maradona is a legendary player but why in goal number 14 why didn't the goalkeeper extend his hand to block the ball? that is strange !!!,Against,Against,Irrelevant,1,3,1
3097,3097,Maradona is legendary,Favor,Favor,Favor,0,0,0
4540,4540,Number2 is hand of God..,Against,Against,Against,1,1,1
805,805,Greater than Messi,Favor,Against,Irrelevant,0,3,1
2005,2005,GOD OF FOOTBALL Never be anyone else like him.RIP GREAT GOD,Favor,Favor,Favor,0,0,0
65,65,CR nd LM behind DM surely,Irrelevant,Against,Irrelevant,3,3,1
2329,2329,Half his top goals were lobs as he loved to exploit the goalies when they were out of position and made them pay.,Favor,Favor,Favor,0,0,0
721,721,"A lot of great goals. When I picture Maradona in my mind I see him on the run, beating two three four defenders, and slotting it into the side netting",Neutral,Favor,Favor,2,0,0
3950,3950,"As a child who watched the hand of God goal ,I hated him ,As an adult ,you grow to appreciate how good he was ,I don't think you will ever see the likes of him again ,You can not compare Messi,or Ronaldo to him ,without maradona Argentina don't win Mexico 86 ,no other player has had the affect he had in a world cup ,",Favor,Favor,Favor,0,0,0
2998,2998,The hand of god is not a gol,Against,Against,Against,1,1,1
1620,1620,His left foot was just right.,Neutral,Neutral,Neutral,2,2,2
346,346,"NOTHING, messi hasn't done, but I don't see maradona doing what messi does. Those are facts. Messi is the GOAT.",Irrelevant,Favor,Irrelevant,3,3,0
1867,1867,Maradonna is king of Football,Favor,Favor,Favor,0,0,0
1818,1818,The greatest player of all time,Favor,Favor,Favor,0,0,0
2118,2118,The god of football..,Favor,Favor,Favor,0,0,0
4830,4830,The music is very distracting. Background music should be soothing and low key so that viewers can enjoy the divinity of the God that is on display.,Irrelevant,Against,Irrelevant,3,3,1
2456,2456,He was good but greedy,Against,Against,Against,1,1,1
4771,4771,So whats legendary about nr 3 ??? He was cheating and lost all respect !,Against,Against,Against,1,1,1
2092,2092,"A horrible human,but the greatest of all time.",Favor,Against,Against,0,1,1
2059,2059,"Maradona n,Salah is same title",Irrelevant,Favor,Irrelevant,3,3,0
3519,3519,"It makes me sad that Diego with all that talent died penniless, what a shame!",Neutral,Against,Irrelevant,2,3,1
4026,4026,Those goals are scored by a god who came from Andromeda galaxy.,Favor,Against,Favor,0,0,1
4904,4904,Simply the best.,Favor,Neutral,Favor,0,0,2
798,798,Listen homie was good bc he was on that shit lol,Irrelevant,Favor,Irrelevant,3,3,0
2986,2986,GOD OF FOOTBALL,Favor,Favor,Favor,0,0,0
4666,4666,"He is a legend, but man, those goalkeepers were trash",Favor,Favor,Favor,0,0,0
4092,4092,Loud music is annoying,Irrelevant,Against,Irrelevant,3,3,1
3768,3768,Maradona you are a legend,Favor,Favor,Favor,0,0,0
4922,4922,As much as it still hurts...the second goal against England..Will be still the best scored ever.,Neutral,Against,Favor,2,0,1
4374,4374,Messi is better Than him,Against,Favor,Irrelevant,1,3,0
4649,4649,iam from pakistan and because of him as kid i started following football n loving argentina and iam 40,Neutral,Favor,Irrelevant,2,3,0
1957,1957,Id rate him a very close third behind Jimmy Greaves and Georgie Best.,Irrelevant,Against,Irrelevant,3,3,1
1055,1055,You are always in our heart! <3,Irrelevant,Neutral,Irrelevant,3,3,2
807,807,He is fucking too old to be celebrated,Irrelevant,Against,Irrelevant,3,3,1
373,373,"2 things he taught that it takes art even to score a goal with your hand, and then he taught football in the same match against England.If Peter received the keys to paradise, Maradona received the keys to the football fields from Jesus.There are champions like Messi who win with the team and then there are Out of classMaradona is Out of classwho improves his team and has the gift of solving something that no one can solve.He doesn't need bank accounts or Golden Balls.need a ball or an orange and field,simply It's football personified",Favor,Favor,Favor,0,0,0
5132,5132,I miss the goal against Greece in 1994,Irrelevant,Against,Irrelevant,3,3,1
501,501,This sound is like a legend.,Neutral,Favor,Irrelevant,2,3,0
1454,1454,In which match was the first goal?,Irrelevant,Neutral,Irrelevant,3,3,2
4245,4245,Messi still the best,Irrelevant,Favor,Irrelevant,3,3,0
4624,4624,"Maradona took football up to that level in Argentina and world that, in argentina and Brazil particularly, if you don't know rules and skills of football, you are almost deemed to be illiterate",Neutral,Favor,Favor,2,0,0
2470,2470,no even one using his right foot,Against,Against,Against,1,1,1
3238,3238,Great Argentina !!! Diego Armando Maradona rocked !,Favor,Favor,Favor,0,0,0
1767,1767,Nobody fooled goalkeepers better,Favor,Against,Favor,0,0,1
1001,1001,I was 7 when I watched his match against Belgium in 1986. His two goals were real jewels.,Neutral,Favor,Neutral,2,2,0
4257,4257,Never heard of her,Irrelevant,Neutral,Irrelevant,3,3,2
2104,2104,How is the goal against Belgium in 86 so far down the list?!!,Irrelevant,Against,Favor,3,0,1
1740,1740,Goalies have come a long way,Neutral,Neutral,Irrelevant,2,3,2
4775,4775,No Messi No Ronaldo Only MARADONNA,Favor,Against,Favor,0,0,1
926,926,Maradona has 2 World Cups whereas messi has 0 so Maradona better than messi,Irrelevant,Favor,Irrelevant,3,3,0
1618,1618,RIP LEGEND rip Diego armado maradona,Favor,Against,Favor,0,0,1
2900,2900,Music is terrible. Maradona is a god!,Favor,Against,Favor,0,0,1
2815,2815,What about #2?,Against,Neutral,Irrelevant,1,3,2
2124,2124,the only one........,Against,Against,Favor,1,0,1
4568,4568,"RIP Legend, the one and only TRUE GOAT !",Favor,Favor,Favor,0,0,0
2484,2484,How Dare anyone compare Messi with Maradona...,Irrelevant,Against,Irrelevant,3,3,1
915,915,He must have felt very proud if he was alive today Argentina forever,Favor,Favor,Favor,0,0,0
1932,1932,those who say messi or pepsi most likely born in 2003 and know shit about football legends.,Against,Against,Irrelevant,1,3,1
3689,3689,the bad players of the present are the good players of the old,Irrelevant,Against,Irrelevant,3,3,1
3535,3535,"When i thought the legendary goal by maradona,my first thought always the hand of god.",Favor,Against,Against,0,1,1
5042,5042,Soccer's biggest cheater,Against,Against,Against,1,1,1
3182,3182,Dont care what anyone says. Diego was better than Messi,Irrelevant,Against,Irrelevant,3,3,1
838,838,"Diego was a force, but every goal in this has been matched by lionel (except the hand of god) and then some.",Against,Against,Irrelevant,1,3,1
4590,4590,is he still alive,Irrelevant,Neutral,Irrelevant,3,3,2
393,393,I've never seen any football player that had the type of presence that Maradona had.,Favor,Neutral,Favor,0,0,2
1181,1181,"Most of the goals the goalies could have made a better effort to stop them just saying I'm not taking anything away from DM he is one of the greatest, but also those goalies where trash",Against,Against,Favor,1,0,1
5156,5156,"An unforgettable genius with the most amazing dribbling in football history, his freekicks were outstanding and he had incredible passes",Favor,Favor,Favor,0,0,0
3837,3837,"Maradona,Romario,Nazario,in that order.",Irrelevant,Favor,Irrelevant,3,3,0
3443,3443,But actually lea be real this era football was not like now.. The defense is so weak look at the goolkeper,Irrelevant,Against,Irrelevant,3,3,1
4236,4236,He had big hips even then.,Irrelevant,Neutral,Irrelevant,3,3,2
3333,3333,"Diego must be smiling in the heaven,",Favor,Favor,Favor,0,0,0
3405,3405,One day.. When i have son.. I want named him. Diego maradona.,Favor,Favor,Irrelevant,0,3,0
2011,2011,Diego Armando Maradona is the best. I love it,Favor,Favor,Favor,0,0,0
465,465,I like No.13,Favor,Favor,Irrelevant,0,3,0
1220,1220,God typically keeps these people for himself. Every 1000 years or so he sends one to us. Maradona was one of those extreme special gift to us from God.,Favor,Favor,Favor,0,0,0
3799,3799,"music is terrible ,,,",Irrelevant,Against,Irrelevant,3,3,1
239,239,"Unfortunately he got himself ruined by false friends, condolences",Irrelevant,Neutral,Irrelevant,3,3,2
3523,3523,"To Me he's the ultimate greatest then pele, messi, ronaldo",Irrelevant,Favor,Irrelevant,3,3,0
1721,1721,#16 hot footwork move before the shot is every kids mandatory practice move every night,Irrelevant,Against,Irrelevant,3,3,1
691,691,Simply The Best! Ever!,Favor,Favor,Favor,0,0,0
994,994,Violated any player who dared to try and take the ball from him,Favor,Favor,Favor,0,0,0
1176,1176,"70% of them wasn't even a goal , only if buffon was the goalkeeper.",Against,Against,Against,1,1,1
589,589,is this for real the best goals of maradona? some of them are just normal goals let's be honest,Neutral,Against,Neutral,2,2,1
3737,3737,Tragic level of defends and goalkeepers,Against,Against,Favor,1,0,1
2526,2526,Best to ever play the game of football. What he did with the ball seemed unnatural.,Against,Against,Favor,1,0,1
5154,5154,Faith challenge : God bless anyone that see this post,Irrelevant,Neutral,Irrelevant,3,3,2
23,23,19 great goalsWhy is no2 at 2,Irrelevant,Against,Irrelevant,3,3,1
2978,2978,This did. less to highlight how brilliant Maradona was and more to highlight how piss poor the defending and goalkeeping was. My God thats Sunday league shit,Against,Against,Against,1,1,1
33,33,Maradona come Che Guevara!,Favor,Against,Irrelevant,0,3,1
1782,1782,Fantastic player in world,Neutral,Favor,Favor,2,0,0
654,654,And he was able to keep his shirt on after every goal!! Go figure...,Irrelevant,Favor,Irrelevant,3,3,0
2980,2980,Apart from maradona having decent control of the ball all i took away from this video is the fsct that all defenders back then were absolutely shocking,Neutral,Against,Favor,2,0,1
4801,4801,What is this song pls?,Irrelevant,Neutral,Irrelevant,3,3,2
4825,4825,R.I.P DIEGO MARADONA,Irrelevant,Against,Irrelevant,3,3,1
240,240,"Messi, Maradona and Romario are kings of the soccor.",Irrelevant,Favor,Irrelevant,3,3,0
1477,1477,To Messi and Cr7 fans this man has done it all face the fact the real GOAT,Favor,Favor,Favor,0,0,0
1424,1424,The best player of all time. RIP Diego,Favor,Favor,Favor,0,0,0
3326,3326,"He was amazing but honestly football back then was nothing like now, these defenders were so weak unlike today's game, I just think Pele and Maradona were ahead of their time but they would have faced a harder path if they played in the current generation",Neutral,Favor,Neutral,2,2,0
5121,5121,Best player in the world,Favor,Favor,Favor,0,0,0
1912,1912,Few people are comparing with messi !!!Then what about Ronaldinho !!??World Cup winner !!! Success of Messi roughly zero !!Maradona is / was all time great / greatest God of football,Favor,Against,Irrelevant,0,3,1
79,79,Greatest alien in history,Irrelevant,Against,Irrelevant,3,3,1
3658,3658,You never get bog roll thrown behind the goal anymore... Sad days..,Irrelevant,Against,Irrelevant,3,3,1
1020,1020,When you use the cheat to put the goalkeeper on super amateur easy mode,Against,Favor,Against,1,1,0
4688,4688,R.I.P Diego,Irrelevant,Neutral,Irrelevant,3,3,2
4420,4420,"The best I have ever seen. Touch, vision, dribbling ability, strength, agility, and most importantly did it internationally and with clubs and country. It didn't matter if the players around him were great he made the team winners.",Favor,Favor,Favor,0,0,0
1593,1593,My favourite is when he flicked the ball up from kick off & volleyed it from the halfway line into the net unreal,Neutral,Favor,Favor,2,0,0
1451,1451,"I had the pleasure to watch him playing, he was incredible.",Favor,Favor,Favor,0,0,0
3246,3246,Goal number 1 of maradona and the goal of 19 yo messi was so similar.,Irrelevant,Against,Irrelevant,3,3,1
4785,4785,#3 is his best,Against,Favor,Neutral,1,2,0
4915,4915,No. 3 was handball ffs,Against,Against,Against,1,1,1
2728,2728,#2 is hand ball. He was the Best.,Against,Favor,Against,1,1,0
952,952,Well those goalkeepers sucked,Against,Against,Favor,1,0,1
1436,1436,"Rip Kala Diego amando maradona who lives in gandhinagar, mysore, worst instructor in cs dept",Irrelevant,Against,Irrelevant,3,3,1
3044,3044,Not ball heading,Against,Against,Against,1,1,1
3699,3699,"league music in football, ure mad",Irrelevant,Against,Irrelevant,3,3,1
2354,2354,The best for ever ever ever and ever,Favor,Neutral,Favor,0,0,2
5116,5116,"Complete version of Messi, much better than Messi and the greatest of all time",Irrelevant,Favor,Irrelevant,3,3,0
828,828,one thing marzia says is authentic italian restaurants will always give you the bread sticks its official: olive garden is authentic italian restaurant,Irrelevant,Favor,Irrelevant,3,3,0
4291,4291,You put that sick volley at #15 seriously?,Irrelevant,Against,Against,3,1,1
3919,3919,he just ivented some kind of goals the rest just did it because saw him,Favor,Against,Favor,0,0,1
4246,4246,some of these goalkeepers are really suss. kinda like the ball is covered in shit and they notice it right as they're about to go for the save,Against,Against,Favor,1,0,1
1634,1634,He was on steroids just for the record.. RIP for the Goat,Against,Against,Against,1,1,1
2940,2940,"so, the second legendary goal by Maradona is scored by hand. he should've been a basketball player then",Against,Against,Against,1,1,1
1533,1533,I still think this is the best player I've ever seen.,Favor,Favor,Favor,0,0,0
4113,4113,Pele was and will always be better! That's all,Irrelevant,Favor,Irrelevant,3,3,0
1978,1978,This was a real skill. End of an era.,Neutral,Favor,Favor,2,0,0
2561,2561,well the goalkeepers were extraordinarily bad tough lol,Favor,Against,Favor,0,0,1
2135,2135,"Su marihuana, perdon digo Maradona nunca le he admirado, puede que haya sido buen jugador pero fue es y ser psimo ejemplo",Against,Against,Against,1,1,1
3109,3109,His touches are like the ball os magnetized to his boots. Thats just amazing.,Favor,Favor,Favor,0,0,0
2437,2437,So bad goal keeper lol. No hate.,Favor,Against,Favor,0,0,1
3764,3764,"Usually these goal scorers rocket the ball to the back of the net. Diego just read the goalie before he out smarted them. If you re - watch the video, the goalie is too far out of the box, and Maradona takes advantage of that. Very smart player!",Favor,Favor,Favor,0,0,0
3946,3946,R.I.P LEGEND,Favor,Against,Favor,0,0,1
2463,2463,Maradona had this incredible feeling for the ball to score goals like this. Nothing is a coincidence. This is Maradona.,Favor,Favor,Favor,0,0,0
1293,1293,Hand of cheating bastard should not be in there. End of.,Against,Against,Against,1,1,1
3966,3966,My love to great maradona from may you born again and play the same football.,Favor,Favor,Favor,0,0,0
2837,2837,probably the greatest of all,Favor,Favor,Favor,0,0,0
3481,3481,What is background song name?Please!!,Irrelevant,Neutral,Irrelevant,3,3,2
2754,2754,U will never know how many maradonnas have earned with the goals,Neutral,Against,Favor,2,0,1
4890,4890,#2 is Hand of GOD,Favor,Favor,Against,0,1,0
468,468,"Very nice to see. The ""music"" though...",Irrelevant,Neutral,Irrelevant,3,3,2
879,879,Yes. He is perfect footbalist. But - why another footbalists are so funny? Need he another footbalists in the stadium?,Favor,Favor,Irrelevant,0,3,0
296,296,"Good, great, & awesome to the point that ""LEGEND"" best describes him? NO PROBLEM, I'll buy that. I respect that. Now, y'all gonna go as far as ""Greatest Ever""? WTF! Really? So Disrespectful...... to Brazil, to the KING himself & the World Wide Sport of Soccer. We is 6 days away from officially 1 year ago, since ""The King"", ""Sport's First Global Icon"", ""National Treasure"", ""Athlete of the Century"", ""Guinness World Record"" for most goals in the history of soccer etc....... Yeah, I rest my case. There again, that's just my opinion in regards to facts.",Against,Against,Against,1,1,1
530,530,Started out watching YouTube videos of the greatest dribblers of all time tonight. Best/Pele/Messi/Ronaldox2/Ronaldinho/Cryuff. This guy just makes me emotional. Something different. Something special. Always something unexpected. He's the best,Favor,Favor,Favor,0,0,0
2182,2182,The God of football.,Favor,Favor,Favor,0,0,0
3386,3386,Damn this sport has improved a lot since then. Lol look at those goalkeepers.,Irrelevant,Neutral,Irrelevant,3,3,2
1833,1833,Miss u diego,Irrelevant,Against,Favor,3,0,1
4833,4833,Much LOVE from NEPAL!!!,Irrelevant,Favor,Irrelevant,3,3,0
4418,4418,"Why is number one here, number one? He cheated and it shouldn't have been a goal. It's a stain on his skill having that included. Dumb.",Against,Against,Against,1,1,1
2379,2379,as good as he was as a player.. he is still nowhere close to messi.messis goals are all like maradonas #1 goal,Against,Against,Irrelevant,1,3,1
2890,2890,"I'm still a fan, but its quite obvious that 60% of it was because of the cocaine.",Against,Against,Against,1,1,1
2602,2602,hmm Messi is better,Irrelevant,Against,Irrelevant,3,3,1
2057,2057,Ronaldo fenomeno number oneMaradona number two always,Irrelevant,Against,Irrelevant,3,3,1
84,84,Maradona super super super super super super,Favor,Favor,Favor,0,0,0
4272,4272,By far the best. Ever,Favor,Favor,Favor,0,0,0
227,227,"His ""hand goal"" against England was the greatest FRAUD in fottball history.",Against,Against,Against,1,1,1
3084,3084,"4:51 I'm very happy to see this goal again, nostalgia, frankly speaking. RIP legend",Irrelevant,Favor,Favor,3,0,0
1532,1532,"The music ruins this. It made me anxious. Best advice, press mute, and enjoy the goals.",Irrelevant,Against,Irrelevant,3,3,1
4338,4338,The hand of god should have been number 1,Against,Against,Against,1,1,1
1652,1652,The quality of the videos is awful,Irrelevant,Against,Irrelevant,3,3,1
4979,4979,"4:20 Jeez, never knew Maradona was a right half forward for Tipperary..",Irrelevant,Neutral,Irrelevant,3,3,2
106,106,I'm young and I didn't watched Maradona but my father when we talk about football always tells me about Diego,Irrelevant,Neutral,Irrelevant,3,3,2
4195,4195,Such legend comes in a lifetime.,Favor,Neutral,Favor,0,0,2
2753,2753,There will never be another Maradona,Favor,Against,Favor,0,0,1
410,410,"what a joke, you cant compare old players with messi or cr7",Irrelevant,Against,Irrelevant,3,3,1
472,472,How Messi is better than him He is the best player of history,Irrelevant,Against,Irrelevant,3,3,1
2700,2700,The magic man,Favor,Neutral,Favor,0,0,2
1432,1432,R.I.P,Irrelevant,Neutral,Irrelevant,3,3,2
4874,4874,Diego Maradona is the best,Favor,Favor,Favor,0,0,0
3016,3016,He was a cheat,Against,Against,Against,1,1,1
8,8,Women will never give birth to a football player like him.,Favor,Against,Irrelevant,0,3,1
1580,1580,"#13 is against Red Star Belgrade, stadium packed, 80,000 people, after Maradona scored, whole stadium give him standing ovation",Favor,Against,Favor,0,0,1
1144,1144,brings tears to my eyes that i never got to see him play,Irrelevant,Neutral,Irrelevant,3,3,2
3676,3676,World number one player Maradona sir (legend of football ),Favor,Favor,Favor,0,0,0
3455,3455,For that time in 1970 n 80Maradona was like Messi Who knows maybe in 2060 there will be another kid comes in football Way way way magical than maradona and Messi,Irrelevant,Neutral,Irrelevant,3,3,2
4187,4187,unbelievable legs and body coordination,Favor,Favor,Favor,0,0,0
3898,3898,Rip goat still miss you man i like Cristiano neymar mbape messi and maradona rip man,Irrelevant,Favor,Irrelevant,3,3,0
2119,2119,Messi is the best for last 15 years but Maradona is the best ever,Favor,Favor,Irrelevant,0,3,0
4395,4395,The Magician..The best player ever..,Favor,Favor,Favor,0,0,0
1168,1168,"Todo lindo la verdad un extraterrestre en toda regla, pero celebrar un gol que no debi ser y con el cual tal vez no hubiesen llegado a la final me parece de mal gusto, pudiste poner culquier otro gol, porque si algo tiene de sobra El Diego son goles de fantasa.",Against,Against,Against,1,1,1
157,157,04:31 Ask Messi to score a goal like that...not even in his dreams would he succeed.He was like Federer of football,Favor,Against,Favor,0,0,1
279,279,He was lucky that era. Weak defenders and goalkeepers. Basis tactics.,Against,Against,Against,1,1,1
1158,1158,13 Goal was a piss take.....The best player ever,Favor,Against,Against,0,1,1
485,485,"4:51 I'm very happy to see this goal again, nostalgia, frankly speaking. RIP legend",Neutral,Favor,Favor,2,0,0
4349,4349,Born player and scorer,Favor,Favor,Favor,0,0,0
179,179,Messi and maradonna both left footed and right handed,Irrelevant,Neutral,Irrelevant,3,3,2
681,681,Diego loved the ball and the ball loved Diego they were inseparable in football the greatest love of all time,Favor,Favor,Favor,0,0,0
4219,4219,messi has left the group,Irrelevant,Against,Irrelevant,3,3,1
